date,quote,tenor,country
2022-06-14,3.0520,1Y,US
2022-06-16,0.0380,5Y,JP
2022-06-07,2.9791,10Y,US
2022-06-06,-0.0800,1Y,JP
2022-06-03,0.2350,10Y,JP
2022-05-30,0.2300,10Y,JP
2022-06-09,-0.0830,1Y,JP
2022-06-10,2.5070,1Y,US
2022-06-13,0.0350,5Y,JP
2022-06-09,3.0455,10Y,US
2022-06-14,0.0700,5Y,JP
2022-06-08,0.2450,10Y,JP
2022-06-01,2.9160,5Y,US
2022-05-30,2.8097,10Y,US
2022-06-14,3.6013,5Y,US
